epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4745.31,0.22523,0.40493,0.18536,0.80601,0.97416,0.96692,0.98496,0.94333,0.97546,0.96668,0.98546,0.8032,0.30009,0.43167,0.22611,0.90383,4.14396e-05,4.14396e-05,4.14396e-05
81,4804.98,0.22644,0.40454,0.18903,0.8054,0.97339,0.97478,0.98645,0.94279,0.9763,0.97042,0.98585,0.80455,0.3107,0.43289,0.22032,0.91071,3.58669e-05,3.58669e-05,3.58669e-05
82,4864.38,0.21796,0.40546,0.18375,0.80042,0.9733,0.9714,0.98705,0.94216,0.98077,0.9717,0.98732,0.80238,0.31267,0.43272,0.21474,0.91466,3.08043e-05,3.08043e-05,3.08043e-05
83,4925.43,0.2175,0.39699,0.18014,0.79713,0.97423,0.97068,0.98704,0.94752,0.98095,0.97733,0.99012,0.80981,0.30345,0.42808,0.21648,0.90283,2.62579e-05,2.62579e-05,2.62579e-05
84,4985.28,0.21682,0.40117,0.18077,0.80234,0.97595,0.97399,0.98644,0.94634,0.97341,0.9735,0.98591,0.80513,0.30287,0.43107,0.22013,0.90142,2.22333e-05,2.22333e-05,2.22333e-05
85,5045.86,0.21213,0.39338,0.17782,0.80668,0.9724,0.9744,0.98646,0.94678,0.9832,0.97549,0.98777,0.80926,0.30306,0.4221,0.22085,0.90307,1.87352e-05,1.87352e-05,1.87352e-05
86,5105.67,0.21683,0.40375,0.18071,0.80009,0.97257,0.97007,0.98655,0.9477,0.97874,0.97693,0.9875,0.81121,0.30414,0.42746,0.21891,0.90962,1.57681e-05,1.57681e-05,1.57681e-05
87,5165.85,0.21029,0.39436,0.17485,0.79599,0.95904,0.97836,0.98607,0.94772,0.97465,0.97665,0.98729,0.81102,0.30516,0.42435,0.21868,0.91107,1.33356e-05,1.33356e-05,1.33356e-05
88,5225.49,0.21426,0.39222,0.17962,0.79679,0.96828,0.97156,0.98641,0.94552,0.97677,0.97733,0.98764,0.81106,0.30499,0.42713,0.21786,0.91072,1.14405e-05,1.14405e-05,1.14405e-05
89,5285,0.20398,0.38917,0.17124,0.79091,0.97132,0.97075,0.98623,0.94741,0.97552,0.97856,0.98756,0.81075,0.30229,0.42492,0.21842,0.90945,1.00852e-05,1.00852e-05,1.00852e-05
90,5344.93,0.20437,0.38583,0.17361,0.80027,0.96716,0.97881,0.98664,0.94813,0.9756,0.97853,0.98761,0.80974,0.29921,0.42537,0.21736,0.905,9.27139e-06,9.27139e-06,9.27139e-06
